Hours,ByDa,RWT,SOA,SOB,SOC,Field,Hot,Day
111,62,34,496,0,0,36,12,3
114,35,29,258,0,0,34,16,4
70,74,19,39,0,1,27,9,5
114,97,19,376,5,1,26,28,1
87,83,31,107,1,1,9,14,2
105,49,69,78,2,1,25,16,3
114,57,30,385,0,0,15,9,4
87,44,14,356,0,0,11,10,5
107,46,16,219,2,0,18,11,1
99,51,23,464,0,0,24,9,2
106,45,26,283,12,1,92,12,3
117,20,32,231,8,0,31,18,4
48,0,0,0,0,0,18,8,5
112,174,109,280,0,0,32,17,1
91,27,22,263,11,1,24,14,2
116,74,72,315,4,1,38,16,3
124,39,38,333,5,0,36,16,4
87,36,13,66,0,3,29,17,5
93,70,43,52,0,35,25,8,1
123,63,35,401,0,0,19,17,2
108,66,68,108,3,1,17,6,3
116,78,51,277,0,1,22,19,4
75,40,40,255,0,0,17,11,5
114,44,38,390,2,5,19,11,1
116,38,75,429,4,5,15,9,2
116,68,55,330,4,6,19,5,3
108,55,74,349,5,3,12,12,4
63,56,27,121,0,0,21,0,5
115,117,86,284,0,7,18,10,1
97,88,76,314,3,0,18,9,2
103,76,65,319,3,6,24,9,3